time,pd1r1,pd1ir1
25.814,65,157
25.815,63,158
25.815,61,149
25.861,62,154
25.861,62,152
25.862,64,152
25.862,61,143
25.862,58,147
25.909,55,148
25.909,61,147
25.911,61,152
25.911,60,152
25.958,59,150
25.958,64,147
25.958,61,151
25.958,63,156
25.958,60,149
25.96,60,152
25.96,60,152
26.007,60,150
26.007,58,148
26.009,61,154
26.009,63,148
26.056,61,149
26.056,65,151
26.057,62,155
26.057,63,158
26.057,64,162
26.104,67,155
26.104,59,154
26.104,60,150
26.104,61,153
26.106,61,154
26.106,60,150
26.153,62,153
26.153,60,151
26.153,60,152
26.154,60,157
26.154,61,157
26.201,67,150
26.201,62,152
26.203,57,150
26.203,60,150
26.204,61,148
26.204,59,148
26.299,61,147
26.299,59,147
26.299,60,157
26.3,63,159
26.3,64,150
26.3,61,155
26.3,67,162
26.302,61,151
26.302,58,153
26.349,61,164
26.349,58,147
26.349,59,152
26.35,62,152
26.35,63,155
26.353,62,158
26.353,63,156
26.398,67,153
26.398,63,150
26.401,63,150
26.401,60,156
26.446,57,160
26.446,62,147
26.446,62,148
26.447,59,146
26.447,65,147
26.494,63,155
26.494,59,149
26.495,65,156
26.495,62,149
26.495,59,149
26.495,63,159
26.495,58,146
26.543,57,149
26.543,67,149
26.545,61,152
26.545,55,151
26.591,58,149
26.591,61,151
26.594,59,154
26.594,67,150
26.64,61,156
26.64,64,143
26.64,63,151
26.641,64,148
26.641,57,155
26.641,64,143
26.641,63,148
26.693,60,147
26.693,62,156
26.694,61,149
26.694,62,151
26.694,63,154
26.738,64,152
26.738,61,152
26.739,58,149
26.739,60,153
26.786,59,147
26.786,60,159
26.789,59,146
26.789,60,143
26.789,60,149
26.789,65,152
26.789,62,151
26.835,63,149
26.835,60,146
26.839,60,152
26.839,61,143
26.884,57,143
26.884,58,148
26.886,61,147
26.886,62,156
26.886,62,145
26.933,63,143
26.933,58,151
26.933,59,159
26.933,62,156
26.935,60,158
26.935,60,153
26.982,62,149
26.982,62,155
26.984,58,153
26.984,60,158
26.984,59,148
27.03,61,159
27.03,64,149
27.032,62,149
27.032,69,161
27.079,63,155
27.079,64,150
27.08,63,154
27.08,63,158
27.08,62,148
27.081,62,160
27.081,59,153
27.128,65,150
27.128,60,149
27.13,62,153
27.13,60,149
27.177,60,151
27.177,63,150
27.179,60,151
27.179,62,150
27.179,57,150
27.226,59,147
27.226,59,150
27.226,59,147
27.226,61,147
27.227,61,161
27.227,62,146
27.274,60,151
27.274,64,164
27.274,65,158
27.275,59,162
27.275,62,151
27.323,61,151
27.323,57,151
27.325,69,159
27.325,62,162
27.374,58,148
27.374,63,158
27.374,61,149
27.374,55,151
27.374,62,151
27.374,62,158
27.374,60,149
27.42,62,149
27.42,59,151
27.422,58,149
27.422,59,143
27.469,62,145
27.469,63,148
27.469,63,146
27.473,62,143
27.473,63,142
27.518,67,147
27.518,60,148
27.518,59,157
27.518,59,147
27.52,55,143
27.52,56,156
27.567,56,161
27.567,57,151
27.567,56,159
27.572,62,146
27.572,60,147
27.615,58,157
27.615,62,146
27.617,62,143
27.617,55,156
27.664,65,153
27.664,65,147
27.664,57,147
27.664,64,157
27.664,59,143
27.668,66,157
27.668,64,165
27.713,62,149
27.713,62,158
27.714,63,161
27.714,62,156
27.761,59,154
27.761,60,152
27.761,59,156
27.762,63,149
27.762,56,149
27.764,60,145
27.764,63,158
27.81,62,143
27.81,60,149
27.812,62,154
27.812,64,149
27.812,59,154
27.859,60,149
27.859,60,158
27.86,57,154
27.86,56,155
27.908,61,149
27.908,62,154
27.908,60,152
27.908,62,156
27.91,59,154
27.91,60,157
27.91,62,153
27.956,60,161
27.956,59,151
27.957,61,148
27.957,58,155
28.005,56,153
28.005,62,148
28.007,60,148
28.007,69,164
28.007,64,157
28.054,61,151
28.054,65,150
28.055,62,159
28.055,61,153
28.057,61,151
28.057,63,156
28.103,64,156
28.103,64,150
28.107,62,147
28.107,61,157
28.107,64,162
28.152,62,162
28.152,60,149
28.153,62,158
28.153,63,151
28.2,56,151
28.2,58,159
28.201,61,151
28.201,58,162
28.201,57,158
28.202,60,153
28.202,59,149
28.249,61,153
28.249,61,157
28.25,62,152
28.25,61,159
28.298,59,148
28.298,59,153
28.299,62,149
28.299,59,149
28.299,59,155
28.347,63,151
28.347,63,145
28.348,62,153
28.348,64,155
28.348,62,158
28.348,59,149
28.395,61,159
28.395,58,150
28.395,56,146
28.397,61,149
28.397,59,146
28.444,59,143
28.444,60,150
28.446,61,147
28.446,61,158
28.493,62,152
28.493,61,149
28.494,60,149
28.494,62,149
28.494,60,143
28.495,64,149
28.495,60,148
28.542,58,155
28.542,61,145
28.543,60,158
28.543,59,150
28.59,60,153
28.59,61,149
28.59,58,151
28.593,63,162
28.593,62,151
28.639,59,154
28.639,55,149
28.64,60,148
28.64,63,143
28.642,63,149
28.642,67,153
28.688,67,149
28.688,64,148
28.688,62,150
28.693,59,153
28.693,62,159
28.737,62,155
28.737,59,148
28.739,60,150
28.739,59,153
28.786,61,161
28.786,60,152
28.786,64,150
28.79,59,151
28.79,59,155
28.79,64,147
28.79,60,152
28.835,62,160
28.835,55,156
28.835,66,154
28.835,61,160
28.883,61,148
28.883,62,152
28.883,61,153
28.885,62,148
28.885,61,152
28.932,62,162
28.932,64,157
28.932,60,151
28.932,63,156
28.934,59,156
28.934,64,153
28.934,62,161
28.981,62,152
28.981,60,161
28.982,65,159
28.982,62,151
29.029,61,156
29.029,61,161
29.031,65,159
29.031,62,151
29.078,62,153
29.078,60,162
29.078,64,156
29.078,64,164
29.078,64,153
29.08,61,154
29.08,67,157
29.127,64,152
29.127,62,153
29.128,62,152
29.128,64,152
29.128,64,149
29.175,55,160
29.175,55,153
29.177,59,159
29.177,55,147
29.225,63,150
29.225,62,154
29.226,64,155
29.226,62,150
29.226,64,150
29.226,62,150
29.226,57,149
29.273,61,162
29.273,60,147
29.275,66,151
29.275,61,154
29.322,59,145
29.322,59,151
29.322,62,150
29.322,64,155
29.322,59,153
29.326,64,154
29.326,60,155
29.37,60,149
29.37,59,152
29.372,60,148
29.372,67,155
29.419,62,156
29.419,64,158
29.42,59,152
29.42,67,147
29.42,62,149
29.468,66,163
29.468,64,163
29.468,62,149
29.468,55,150
29.47,59,147
29.47,58,152
29.517,58,149
29.517,62,150
29.517,60,152
29.518,62,159
29.518,59,155
29.565,59,157
29.565,62,161
29.567,63,157
29.567,61,147
29.614,60,149
29.614,59,157
29.614,62,151
29.614,62,159
29.614,63,148
29.616,62,163
29.616,64,154
29.663,60,151
29.663,63,156
29.664,59,160
29.664,59,153
29.711,67,153
29.711,60,157
29.711,60,148
29.713,57,156
29.713,62,153
29.761,59,156
29.761,63,158
29.761,63,152
29.761,62,150
29.762,64,163
29.762,68,154
29.81,61,155
29.81,59,156
29.81,62,152
29.81,58,162
29.81,60,155
29.858,60,158
29.858,60,149
29.859,59,150
29.859,64,151
29.906,63,153
29.906,62,153
29.906,66,152
29.907,63,153
29.907,63,153
29.908,64,150
29.908,59,161
29.955,62,154
29.955,62,150
29.957,61,149
29.957,61,156
30.004,61,149
30.004,58,149
30.004,67,143
30.006,59,157
30.006,62,158
30.053,63,146
30.053,61,146
30.054,61,149
30.054,59,143
30.055,59,153
30.055,58,143
30.055,66,145
30.102,59,143
30.102,61,143
30.103,65,147
30.103,61,150
30.15,63,149
30.15,58,149
30.152,61,156
30.152,60,146
30.2,65,152
30.2,59,158
30.2,62,151
30.2,61,149
30.2,61,150
30.201,60,156
30.201,55,143
30.248,63,153
30.248,65,149
30.249,60,156
30.249,65,152
30.249,61,147
30.296,59,143
30.296,61,149
30.298,60,146
30.298,55,150
30.347,58,147
30.347,60,143
30.347,59,139
30.347,58,153
30.348,61,145
30.348,61,152
30.348,62,147
30.395,61,149
30.395,62,167
30.395,64,149
30.395,60,159
30.444,57,158
30.444,59,151
30.445,60,158
30.445,60,149
30.445,63,147
30.491,59,157
30.491,62,149
30.492,66,157
30.492,61,143
30.494,65,157
30.494,62,143
30.54,57,154
30.54,61,149
30.542,58,158
30.542,58,158
30.542,60,149
30.589,57,148
30.589,57,158
30.591,60,146
30.591,58,149
30.638,61,149
30.638,62,154
30.638,59,149
30.638,64,159
30.638,61,149
30.64,61,156
30.64,67,162
30.687,64,162
30.687,61,152
30.688,57,155
30.688,60,148
30.736,60,158
30.736,62,161
30.737,59,145
30.737,63,149
30.737,62,148
30.784,61,158
30.784,64,154
30.787,62,143
30.787,57,147
30.787,61,152
30.787,61,145
30.882,58,152
30.882,63,151
30.882,60,151
30.882,59,148
30.882,58,147
30.884,60,149
30.884,61,149
30.931,61,155
30.931,57,153
30.931,58,159
30.931,62,159
30.932,60,145
30.932,59,146
30.932,61,146
30.979,57,139
30.979,59,156
30.979,58,143
30.979,59,145
30.981,60,146
30.981,62,148
31.028,59,143
31.028,59,155
31.028,61,152
31.028,55,152
31.028,60,155
31.033,58,144
31.033,54,146
31.077,58,156
31.077,59,148
31.079,58,149
31.079,65,149
31.126,61,156
31.126,64,147
31.126,63,150
31.127,62,145
31.127,59,139
31.174,69,149
31.174,59,146
31.174,58,148
31.174,66,144
31.176,56,145
31.176,59,139
31.176,61,149
31.223,58,145
31.223,58,145
31.226,62,150
31.226,61,146
31.321,62,157
31.321,59,154
31.321,58,149
31.321,60,160
31.322,61,148
31.322,53,152
31.322,58,154
31.324,59,148
31.324,56,146
31.37,60,146
31.37,60,153
31.374,61,152
31.374,61,151
31.374,61,146
31.374,59,149
31.374,62,151
31.419,62,151
31.419,60,147
31.419,59,143
31.419,60,155
31.466,60,156
31.466,61,150
31.516,62,142
31.516,61,150
31.516,63,158
31.516,62,151
31.516,60,149
31.517,62,161
31.517,60,148
31.518,59,150
31.518,60,145
31.565,59,143
31.565,58,158
31.565,61,149
31.565,59,147
31.565,61,143
31.613,67,148
31.613,62,159
31.614,67,158
31.614,63,155
31.615,59,152
31.615,60,158
31.662,61,149
31.662,58,150
31.666,58,159
31.666,60,149
31.666,58,149
31.71,64,149
31.71,61,151
31.714,59,149
31.714,59,151
31.759,59,143
31.759,59,143
31.76,60,143
31.76,60,142
31.76,59,143
31.761,58,147
31.761,61,145
31.857,59,146
31.857,62,146
31.857,60,145
31.857,58,152
31.858,60,149
31.858,62,154
31.859,58,154
31.859,59,142
31.859,56,146
31.905,58,156
31.905,59,146
31.906,60,146
31.906,59,145
31.907,62,146
31.907,58,145
31.955,67,146
31.955,63,145
31.955,63,148
31.956,62,158
31.956,62,160
32.003,56,154
32.003,58,149
32.004,57,145
32.004,56,146
32.053,57,145
32.053,57,144
32.053,60,148
32.053,57,145
32.053,60,138
32.053,59,151
32.053,64,154
32.101,62,147
32.101,59,146
32.102,63,148
32.102,61,143
32.151,60,154
32.151,60,149
32.151,56,146
32.153,59,149
32.153,63,146
32.198,63,154
32.198,59,149
32.199,72,153
32.199,61,147
32.2,55,149
32.2,62,148
32.246,59,151
32.246,61,149
32.246,62,144
32.252,59,139
32.252,59,156
32.295,59,145
32.295,59,148
32.297,61,151
32.297,65,149
32.344,60,143
32.344,62,149
32.344,59,149
32.345,57,152
32.345,58,158
32.346,58,149
32.346,57,158
32.393,58,156
32.393,62,158
32.395,61,152
32.395,65,149
32.442,66,152
32.442,58,149
32.442,63,150
32.443,61,152
32.443,57,150
32.443,63,153
32.443,60,148
32.491,60,152
32.491,62,152
32.492,60,147
32.492,61,149
32.492,62,150
32.539,60,156
32.539,61,154
32.541,60,154
32.541,61,160
32.588,61,166
32.588,64,153
32.588,61,145
32.588,64,152
32.59,63,147
32.59,60,152
32.59,64,161
32.637,63,148
32.637,64,153
32.638,63,151
32.638,62,148
32.686,60,155
32.686,62,155
32.687,57,149
32.687,59,152
32.687,58,150
32.734,60,143
32.734,57,150
32.735,60,149
32.735,58,145
32.736,58,145
32.736,61,151
32.783,67,149
32.783,60,143
32.789,59,157
32.789,62,150
32.789,55,152
32.835,60,146
32.835,60,147
32.836,60,147
32.836,59,159
32.882,61,149
32.882,60,147
32.882,62,144
32.882,62,143
32.882,59,154
32.883,61,150
32.883,62,149
32.929,61,147
32.929,67,152
32.931,58,149
32.931,60,143
32.978,63,143
32.978,59,146
32.979,59,148
32.979,61,158
32.979,63,149
33.026,61,154
33.026,61,161
33.028,64,154
33.028,62,159
33.028,61,151
33.028,57,149
33.076,60,158
33.076,62,158
33.076,60,147
33.078,59,148
33.078,64,143
33.124,62,149
33.124,64,159
33.125,65,150
33.125,62,149
33.173,61,159
33.173,63,154
33.173,67,148
33.173,59,146
33.173,62,148
33.174,59,148
33.174,59,153
33.223,63,147
33.223,57,157
33.225,62,155
33.225,62,151
33.271,59,161
33.271,60,160
33.271,64,151
33.273,61,162
33.273,62,149
33.32,62,148
33.32,62,156
33.32,60,154
33.32,65,153
33.321,65,152
33.321,67,160
33.369,65,147
33.369,62,151
33.369,61,151
33.369,63,151
33.369,67,157
33.417,61,152
33.417,63,164
33.418,59,151
33.418,59,150
33.466,65,147
33.466,62,152
33.466,67,151
33.466,62,152
33.466,62,157
33.467,63,157
33.467,64,153
33.514,59,155
33.514,61,161
33.515,60,153
33.515,64,162
33.563,60,149
33.563,60,152
33.563,60,153
33.565,59,151
33.565,59,150
33.612,60,149
33.612,65,149
33.612,63,150
33.612,60,154
33.614,63,149
33.614,59,151
33.614,61,149
33.661,61,152
33.661,61,144
33.662,58,148
33.662,63,149
33.709,58,143
33.709,61,151
33.711,64,154
33.711,62,158
33.807,60,154
33.807,63,157
33.807,59,149
33.807,62,149
33.807,62,148
33.808,59,143
33.808,60,154
33.809,61,148
33.809,60,146
33.857,60,143
33.857,62,151
33.857,63,147
33.857,66,154
33.857,62,149
33.858,59,150
33.858,62,162
33.904,65,162
33.904,56,150
33.908,65,154
33.908,61,148
33.908,58,154
33.908,58,154
33.908,60,148
33.953,60,149
33.953,62,158
33.955,63,154
33.955,62,154
34.001,65,150
34.001,67,153
34.002,60,150
34.002,64,161
34.002,62,148
34.003,61,147
34.003,62,150
34.05,57,148
34.05,59,150
34.055,62,152
34.055,61,149
34.148,59,164
34.148,64,157
34.148,57,151
34.148,61,153
34.148,62,153
34.15,68,148
34.15,60,160
34.196,62,160
34.196,63,151
34.197,64,154
34.197,63,160
34.199,62,156
34.199,63,155
34.199,62,153
34.246,63,150
34.246,63,159
34.246,63,154
34.246,59,159
34.247,62,162
34.247,61,152
34.295,58,147
34.295,64,159
34.295,62,147
34.295,60,149
34.295,61,155
34.296,64,151
34.296,64,163
34.343,63,164
34.343,63,151
34.344,63,153
34.344,64,156
34.392,62,160
34.392,67,164
34.392,59,155
34.393,60,154
34.393,57,163
34.44,59,149
34.44,60,154
34.441,59,148
34.441,60,150
34.442,64,149
34.442,61,149
34.539,59,149
